商品名称,价格,厂商指导价,评分,评价数量,咨询数量,商品图片,专区,分类,国别,商品链接,商品编号,商品规格,主要原料,营养成分,适用对象,颗粒大小,口味配方,出厂保质期,重量,市场价
福来恩 犬用体外驱虫滴剂  大型犬20-40kg/单支 1个月剂量 法国进口 整盒拆分 无法查看保质期,¥97.00,¥117.00,4.9,2263,12,//img-new.boqiicdn.com/Data/Shop/0/14/1418/shoppicpath11599016559_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,医疗护理,内外驱虫,https://shop.boqii.com/product-1418.html,178406,,,,20-40kg大型犬,,,36个月,0.03KG,￥117.0
福来恩 犬猫体外驱虫喷剂 250ml  法国进口,¥305.00,¥366.00,4.9,1919,9,//img-new.boqiicdn.com/Data/Shop/0/14/1445/shoppicpath11540870855_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,医疗护理,内外驱虫,https://shop.boqii.com/product-1445.html,178402,,,,全犬猫,,,2年,0.28KG,￥366.0
福来恩 犬猫体外驱虫喷剂 100ml  法国进口,¥175.00,¥210.00,4.9,2355,19,//img-new.boqiicdn.com/Data/Shop/0/14/1446/shoppicpath11540539351_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,医疗护理,内外驱虫,https://shop.boqii.com/product-1446.html,178401,,,,犬,,,2年,0.12KG,￥210.0
福来恩 犬用体外驱虫滴剂 中型犬10-20kg 整盒3支装/3个月剂量 法国进口,¥240.00,¥288.00,5.0,4537,15,//img-new.boqiicdn.com/Data/Shop/0/14/1451/shoppicpath11599017168_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,医疗护理,内外驱虫,https://shop.boqii.com/product-1451.html,178409,,,,中型犬,,,3年,0.04KG,￥288.0
诺瑞Nory 鸡肉橄榄油蔬菜味成犬粮 10kg,¥165.00,¥207.60,4.9,187,2,//img-new.boqiicdn.com/Data/Shop/0/14/1453/shoppicpath11592205820_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-1453.html,101603,10KG,玉米 鸡肉粉 猪肉粉,粗蛋白质≥20%、粗脂肪≥10%、钙≥1.0%,成犬,标准粒,混合口味,18个月,10.18KG,￥207.6
福来恩 犬用体外驱虫滴剂 大型犬20-40kg 3支盒装/3个月剂量 法国进口,¥260.00,¥312.00,4.9,4129,12,//img-new.boqiicdn.com/Data/Shop/0/14/1467/shoppicpath11599017076_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,医疗护理,内外驱虫,https://shop.boqii.com/product-1467.html,178408,,,,大型犬,,,3年,0.04KG,￥312.0
福来恩 猫用体外驱虫滴剂 单支/1个月剂量 法国进口,¥72.00,¥86.40,5.0,5505,13,//img-new.boqiicdn.com/Data/Shop/0/14/1468/shoppicpath11599014819_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,医疗护理,内外驱虫,https://shop.boqii.com/product-1468.html,178403,,,,8周龄以上猫,,,3年,0.03KG,￥86.4
比瑞吉 俱乐部全犬种成犬粮 10kg,¥269.00,¥355.20,4.9,2059,6,//img-new.boqiicdn.com/Data/Shop/0/15/1504/shoppicpath11595836023_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-1504.html,101503,10kg,鸡肉、鱼肉、玉米、小麦、鸡油、大米、玉米蛋白粉、海藻、果寡糖、果,粗蛋白≥25%、粗脂肪≥13%、钙≥1%、总磷≥0.8%、赖氨酸,全犬种成犬,标准颗粒,鸡肉鱼肉谷物果蔬,18个月,10.28KG,￥355.2
宝路Pedigree 鸡肉高汤口味幼犬妙鲜包  85g 狗湿粮,¥3.90,¥4.30,4.8,524,3,//img-new.boqiicdn.com/Data/Shop/0/15/1505/shoppicpath11583829741_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,罐头湿粮,https://shop.boqii.com/product-1505.html,111810,85g,,,幼犬,,鸡肉,2年,0.09KG,￥4.3
妙多乐CatChow 均衡营养全价成猫粮 10kg,¥285.00,¥313.50,5.0,7197,11,//img-new.boqiicdn.com/Data/Shop/0/16/1622/shoppicpath11540470161_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-1622.html,102201,10KG,蛋白质、天然纤维、钙和磷、维生素E,粗蛋白质≥34%，粗脂肪≥13%，水分≤12%，粗灰分≤10%，,成猫,适中,鸡肉,18个月,10.17KG,￥313.5
法国皇家Royal Canin 大型犬成犬粮 15kg,¥610.00,¥671.00,5.0,2202,6,//img-new.boqiicdn.com/Data/Shop/0/16/1668/shoppicpath11567949463_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-1668.html,100127,15kg,稻米、脱水家禽肉、脱水家禽肝脏、酵母、微量元素等,粗蛋白≥28%、粗脂肪≥13%、赖氨酸≥0.8%、钙≥1.1%、,15月龄以上大型成犬,适中颗粒,禽肉混合口味,12个月,15.20KG,￥671.0
法国皇家Royal Canin 大型犬幼犬粮 15kg,¥672.00,¥739.20,4.9,861,18,//img-new.boqiicdn.com/Data/Shop/0/16/1669/shoppicpath11616383272_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-1669.html,100119,15kg,鸡肉粉、鸡肉骨粉、鸭肉粉,粗蛋白质≥27%、粗脂肪≥14%、钙≥0.96%,大型幼犬,标准粒,鸡肉,12个月,15.21KG,￥739.2
伟嘉 精选海洋鱼味成猫猫粮 10kg,¥209.00,¥229.90,5.0,1376,3,//img-new.boqiicdn.com/Data/Shop/0/16/1678/shoppicpath11582092829_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-1678.html,132105,10KG,谷物（小麦/玉米/小麦）、肉类（鸡肉粉/牛骨粉）、玉米蛋白粉、动,,成猫,适中,海洋鱼味,18个月,10.19KG,￥229.9
伟嘉 牛肉口味成猫猫粮 10kg,¥209.00,¥229.90,5.0,642,3,//img-new.boqiicdn.com/Data/Shop/0/16/1679/shoppicpath11582093120_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-1679.html,132106,10kg,谷物、肉粉、蛋白质粉,粗蛋白质≥27%、粗脂肪≥10%、钙≥1.8%,成猫,标准粒,牛肉,18个月,10.19KG,￥229.9
宝路Pedigree 鸡肉豌豆口味幼犬粮 10kg,¥240.00,¥316.20,4.8,435,4,//img-new.boqiicdn.com/Data/Shop/0/16/1682/shoppicpath11615255748_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-1682.html,101813,10kg,鸡肉粉、猪肉粉、牛骨粉、谷物,粗蛋白质≥26%，粗脂肪≥11%，钙≥1.1%,幼犬,小颗粒,鸡肉豌豆,18个月,10.19KG,￥316.2
拜宠清 犬用体内驱虫 口服  单片装/可三个月喂一次  德国进口,¥45.00,¥56.25,4.8,8476,72,//img-new.boqiicdn.com/Data/Shop/0/16/1683/shoppicpath11616380347_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,医疗护理,内外驱虫,https://shop.boqii.com/product-1683.html,178002,,,,犬,,,3年,0.01KG,￥56.3
法国皇家Royal Canin 泰迪贵宾幼犬粮 3kg APd33,¥288.00,¥316.80,4.9,1509,15,//img-new.boqiicdn.com/Data/Shop/0/17/1717/shoppicpath11617159592_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-1717.html,100130,3kg,玉米、脱水家禽肉、水解植物蛋白、动物脂肪、大麦、玉米麸质、玉米粉,,贵宾幼犬,标准粒,鸡肉,18个月,3.07KG,￥316.8
千羽 宠物自动饮水机 2L水容量 颜色随机,,,4.8,103,0,//img-new.boqiicdn.com/Data/Shop/0/19/1959/shoppicpath11570515447_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,生活日用,狗狗餐具,https://shop.boqii.com/product-1959.html,1910302,2000毫升,,,犬猫,,,,0.26KG,￥37.6
千羽 宠物自动喂食器 2kg 颜色随机,,,4.7,59,0,//img-new.boqiicdn.com/Data/Shop/0/19/1960/shoppicpath41569826560_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,生活日用,狗狗餐具,https://shop.boqii.com/product-1960.html,1910301,2kg,,,犬猫,,,,0.30KG,￥37.6
千羽 猫犬通用户外拾便器 含一枚卷带方便袋,,,4.9,20,0,//img-new.boqiicdn.com/Data/Shop/0/19/1961/shoppicpath11561433495_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,生活日用,排便清洁,https://shop.boqii.com/product-1961.html,1910310,15*11*6（cm）含一枚卷带方便袋,,,犬猫,,,,0.10KG,￥19.8
千羽 飞盘训练互动狗狗玩具,¥20.80,¥22.90,4.8,134,2,//img-new.boqiicdn.com/Data/Shop/0/19/1962/shoppicpath11540463010_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗玩具,训练玩具,https://shop.boqii.com/product-1962.html,2010308,,,,犬,,,,0.10KG,￥22.9
千羽 狗粮铲猫粮铲 颜色随机,,,4.9,128,0,//img-new.boqiicdn.com/Data/Shop/0/19/1963/shoppicpath21570515942_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,生活日用,狗狗餐具,https://shop.boqii.com/product-1963.html,2110305,24*8.5,,,狗狗,,,,0.05KG,￥9.9
千羽 宠物棉绳抛掷球 猫狗通用玩具,,,4.9,98,0,//img-new.boqiicdn.com/Data/Shop/0/19/1964/shoppicpath11451037164_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗玩具,互动玩具,https://shop.boqii.com/product-1964.html,2010307,6.35cm,,,犬,,,,0.20KG,￥22.0
千羽 小网格塑料猫砂铲 镂空设计,¥8.20,¥9.00,4.9,78,0,//img-new.boqiicdn.com/Data/Shop/0/19/1966/shoppicpath11577246060_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫砂猫厕,排便清洁,https://shop.boqii.com/product-1966.html,2110303,26.5*10,,,猫咪,,,,0.04KG,￥9.0
风来客 鸡肉味营养骨咬胶磨牙狗零食5寸 95g,¥10.00,¥10.60,4.8,204,1,//img-new.boqiicdn.com/Data/Shop/0/19/1972/shoppicpath11578386088_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,磨牙洁齿,https://shop.boqii.com/product-1972.html,124423,95g,,,成犬,,鸡肉味,2年,0.10KG,￥10.6
风来客 猪肉味营养骨咬胶磨牙狗零食5寸 95g,¥10.00,¥10.60,4.9,80,0,//img-new.boqiicdn.com/Data/Shop/0/19/1974/shoppicpath11517379885_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,磨牙洁齿,https://shop.boqii.com/product-1974.html,124414,95g,,,成犬,,猪肉,24个月,0.10KG,￥10.6
风来客 牛肉味营养骨咬胶磨牙狗零食5寸 95g,¥10.00,¥10.60,4.8,644,1,//img-new.boqiicdn.com/Data/Shop/0/19/1975/shoppicpath11578385908_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,磨牙洁齿,https://shop.boqii.com/product-1975.html,124412,95g（5寸）,,,3月以上犬,,牛肉,24个月,0.10KG,￥10.6
风来客 猪肉味营养骨咬胶磨牙狗零食3寸 36g（2只装）,,,4.8,130,0,//img-new.boqiicdn.com/Data/Shop/0/19/1979/shoppicpath11516847662_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,磨牙洁齿,https://shop.boqii.com/product-1979.html,124452,36g,,,狗狗,,猪肉味,24个月,0.04KG,￥6.6
风来客 牛肉味营养骨咬胶磨牙狗零食3寸 108g（6只装）,¥18.00,¥19.80,4.9,435,0,//img-new.boqiicdn.com/Data/Shop/0/19/1981/shoppicpath11517380182_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,磨牙洁齿,https://shop.boqii.com/product-1981.html,124447,108g（3寸/6只）,,,3月以上犬,,牛肉,24个月,0.13KG,￥19.8
风来客 猪肉味营养骨咬胶磨牙狗零食3寸 108g（6只装）,¥18.00,¥19.80,4.9,156,0,//img-new.boqiicdn.com/Data/Shop/0/19/1982/shoppicpath11517380042_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,磨牙洁齿,https://shop.boqii.com/product-1982.html,124425,108g,,,犬,,猪肉,24个月,0.13KG,￥19.8
风来客 鸡肉味营养骨咬胶磨牙狗零食3寸 108g（6只装）,¥18.00,¥19.80,4.9,202,0,//img-new.boqiicdn.com/Data/Shop/0/19/1983/shoppicpath11517379998_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,磨牙洁齿,https://shop.boqii.com/product-1983.html,124420,108g *6,,,狗狗,,鸡肉味,24个月,0.13KG,￥19.8
风来客 钙奶骨洁齿磨牙狗零食3寸 270g（12支装）,¥38.00,¥41.80,4.9,95,0,//img-new.boqiicdn.com/Data/Shop/0/19/1993/shoppicpath11586935813_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,磨牙洁齿,https://shop.boqii.com/product-1993.html,124417,270g,,,成犬,,牛奶味,2年,0.31KG,￥41.8
风来客 钙奶骨狗零食3寸 96g（4支装）洁齿磨牙,¥16.00,¥17.60,4.9,136,1,//img-new.boqiicdn.com/Data/Shop/0/19/1999/shoppicpath11571715361_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,磨牙洁齿,https://shop.boqii.com/product-1999.html,124402,96g,,,成犬,,牛奶,24个月,0.12KG,￥17.6
风来客 汪汪系列营养零食五星片咬胶磨牙洁齿狗零食 390g,¥35.00,¥38.50,4.9,80,0,//img-new.boqiicdn.com/Data/Shop/0/20/2011/shoppicpath11560480054_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,磨牙洁齿,https://shop.boqii.com/product-2011.html,124428,390g,,,幼犬,,,24个月,0.50KG,￥38.5
风来客 汪汪系列营养零食中骨仔磨牙洁齿狗零食 390g,¥35.00,¥38.50,4.9,72,0,//img-new.boqiicdn.com/Data/Shop/0/20/2012/shoppicpath11616380276_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,磨牙洁齿,https://shop.boqii.com/product-2012.html,124431,390g,,,6个月以上犬,,鸡肉味,24个月,0.48KG,￥38.5
法国皇家Royal Canin 理想体态营养成猫粮15kg F32,¥773.00,¥850.30,5.0,2078,10,//img-new.boqiicdn.com/Data/Shop/0/20/2033/shoppicpath11566284778_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-2033.html,130135,15KG,,,成猫,适中,鸡肉,12个月,15.21KG,￥850.3
千羽Soleil 猫咪疯狂游乐盘猫玩具  符合猫咪天性,,,5.0,30,0,//img-new.boqiicdn.com/Data/Shop/0/22/2255/shoppicpath11570517803_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪玩具,逗猫玩具,https://shop.boqii.com/product-2255.html,2010335,直径25cm ,,,猫咪,,,,0.24KG,￥35.6
风来客 幼犬小骨仔 狗零食 390g 磨牙洁齿,¥35.00,¥38.50,4.9,70,0,//img-new.boqiicdn.com/Data/Shop/0/23/2322/shoppicpath11560479694_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,磨牙洁齿,https://shop.boqii.com/product-2322.html,124430,390g ,,,幼犬,,,24个月,0.48KG,￥38.5
法国皇家Royal Canin 中型犬幼犬粮 15kg,¥686.00,¥754.60,4.9,538,2,//img-new.boqiicdn.com/Data/Shop/0/23/2328/shoppicpath11616393319_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-2328.html,100170,15kg,鸡肉粉、鸡肉骨粉,,中型犬幼犬,标准粒,鸡肉,12个月,15.19KG,￥754.6
法国皇家Royal Canin 中型犬成犬粮 15kg,¥622.00,¥684.20,5.0,1701,10,//img-new.boqiicdn.com/Data/Shop/0/23/2329/shoppicpath11568016640_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-2329.html,100169,15KG,,,中型犬成犬,定制半圆环颗粒,,12个月,15.22KG,￥684.2
佑达发育宝 全犬种整肠配方350g(原幼犬)+全犬全猫钙胃能450g套装,,,4.8,447,8,//img-new.boqiicdn.com/Data/Shop/0/23/2364/shoppicpath11539671367_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,营养保健,肠胃调理,https://shop.boqii.com/product-2364.html,154701,,,,全犬猫,,,3年,1.20KG,￥308.0
法国皇家Royal Canin 约克夏成犬粮 1.5kg,¥137.00,¥150.70,5.0,618,1,//img-new.boqiicdn.com/Data/Shop/0/23/2396/shoppicpath11561539488_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-2396.html,100123,1.5kg,鸡肉粉、鸡肉骨粉,,约克夏成犬,标准粒,鸡肉,18个月,1.50KG,￥150.7
宝路Pedigree 供训养场使用成犬粮 20kg,¥349.00,¥383.90,4.8,306,10,//img-new.boqiicdn.com/Data/Shop/0/24/2403/shoppicpath11583822287_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-2403.html,101812,20kg,牛肉、鸡肉、谷物,天然蛋白质≥18%、天然脂肪≥14%、钙≥0.8%,全犬种,标准粒,牛肉,18个月,20.12KG,￥383.9
宝路Pedigree 中小型犬成犬洁齿棒 75g,¥11.50,¥13.80,4.7,1519,3,//img-new.boqiicdn.com/Data/Shop/0/24/2407/shoppicpath11615447509_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,磨牙洁齿,https://shop.boqii.com/product-2407.html,121806,75g ,,,中小型成犬,,乳钙风味,18个月,0.08KG,￥13.8
宝路Pedigree 钙力健 成犬零食 75g,¥11.50,¥13.80,4.8,865,5,//img-new.boqiicdn.com/Data/Shop/0/24/2408/shoppicpath11618997772_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,磨牙洁齿,https://shop.boqii.com/product-2408.html,121805,75g,,,成犬,,乳钙风味,18个月,0.08KG,￥13.8
宝路Pedigree 倍亮宝狗零食 75g,¥11.50,¥13.80,4.7,467,3,//img-new.boqiicdn.com/Data/Shop/0/24/2409/shoppicpath11583911092_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,磨牙洁齿,https://shop.boqii.com/product-2409.html,121802,75g,,,成犬,,鸡肉,18个月,0.08KG,￥13.8
伟嘉 精选海洋鱼妙鲜包幼猫湿粮 85g,¥3.90,¥4.30,4.9,1169,0,//img-new.boqiicdn.com/Data/Shop/0/24/2410/shoppicpath11582099778_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-2410.html,142113,85g,,,幼猫,,海洋鱼,24个月,0.09KG,￥4.3
伟嘉 精选鸡肉成猫妙鲜包 85g,¥3.90,¥4.30,4.9,670,0,//img-new.boqiicdn.com/Data/Shop/0/24/2411/shoppicpath11582099409_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-2411.html,142108,85g,,,成猫,,鸡肉,24个月,0.09KG,￥4.3
法国皇家Royal Canin 美毛功能粮 成猫粮2kg H33,¥219.00,¥240.90,4.9,482,0,//img-new.boqiicdn.com/Data/Shop/0/24/2413/shoppicpath11567423517_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-2413.html,130122,2kg,小麦、禽肉骨粉、谷脘粉、牛油、大米,粗蛋白≥24%、粗脂肪≥11%、赖氨酸≥0.8%、钙≥0.8%、,成猫,标准颗粒,禽肉鱼肉混合口味,18个月,2.00KG,￥240.9
法国皇家Royal Canin 口腔护理去牙结石成猫粮1.5kg OS30,¥172.00,¥189.20,4.9,659,0,//img-new.boqiicdn.com/Data/Shop/0/24/2415/shoppicpath11567423215_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-2415.html,130121,1.5kg,小麦、禽肉骨粉、谷脘粉、牛油、大米,粗蛋白≥24%、粗脂肪≥11%、赖氨酸≥0.8%、钙≥0.8%、,成猫,标准颗粒,禽肉鱼肉混合口味,18个月,1.55KG,￥189.2
法国皇家Royal Canin 大型犬幼犬离乳期奶糕粮 4kg,¥254.00,¥279.40,4.9,326,1,//img-new.boqiicdn.com/Data/Shop/0/24/2419/shoppicpath11616383098_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-2419.html,100118,4kg,大米、鸡肉粉、鸡肉骨粉、鸭肉粉,粗蛋白≥27.0%、粗脂肪≥19.3%、粗纤维≤4.6%、粗灰分,大型犬,定制圆形颗粒,鸡肉,18个月,4.00KG,￥279.4
法国皇家Royal Canin 挑嘴成猫粮 2kg EA33,¥166.00,¥182.60,5.0,220,0,//img-new.boqiicdn.com/Data/Shop/0/24/2428/shoppicpath11567419950_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-2428.html,130159,2KG,,,成猫,适中,鸡肉,18个月,2.04KG,￥182.6
法国皇家Royal Canin 优选肠道舒适型成猫粮 2kg EP42,¥166.00,¥182.60,5.0,1144,0,//img-new.boqiicdn.com/Data/Shop/0/24/2431/shoppicpath11567420458_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-2431.html,130162,2kg,小麦、禽肉骨粉、谷脘粉、牛油、大米,粗蛋白≥24%、粗脂肪≥11%、赖氨酸≥0.8%、钙≥0.8%、,成猫,标准颗粒,禽肉鱼肉混合口味,18个月,2.05KG,￥182.6
法国皇家Royal Canin 优选肠道舒适型成猫粮10kg EP42,¥678.00,¥745.80,5.0,535,0,//img-new.boqiicdn.com/Data/Shop/0/24/2433/shoppicpath11567420646_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-2433.html,130161,10kg,鸡肉粉、鸡肉骨粉、鸭肉粉、鸭肉骨粉,粗蛋白≥39%、粗脂肪≥13%、水分≤11%、粗纤维≤6.7%,成猫,标准颗粒,,18个月,10.17KG,￥745.8
法国皇家Royal Canin 口感型 挑嘴成猫粮 2kg ES35,¥166.00,¥182.60,4.9,2131,0,//img-new.boqiicdn.com/Data/Shop/0/24/2434/shoppicpath11567420893_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-2434.html,130156,2kg,小麦、禽肉骨粉、谷脘粉、牛油、大米,粗蛋白≥24%、粗脂肪≥11%、赖氨酸≥0.8%、钙≥0.8%、,成猫,标准颗粒,禽肉鱼肉混合口味,18个月,2.05KG,￥182.6
法国皇家Royal Canin 口感型 挑嘴成猫粮 10kg ES35,¥678.00,¥745.80,5.0,477,1,//img-new.boqiicdn.com/Data/Shop/0/24/2436/shoppicpath11567421529_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-2436.html,130155,10kg,小麦、鸡肉粉、鸡肉骨粉,粗蛋白质≥30%、粗脂肪≥14%、钙≥0.84%,成猫,标准粒,鸡肉,18个月,10.18KG,￥745.8
它它TouchDog 牛奶味罐装小馒头训练奖励狗零食 210g,¥19.20,¥23.04,4.9,790,0,//img-new.boqiicdn.com/Data/Shop/0/24/2452/shoppicpath11540376381_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,奶酪饼干,https://shop.boqii.com/product-2452.html,124625,210g,,,全犬,,牛奶,13个月,0.28KG,￥23.0
法国皇家Royal Canin 泰迪贵宾专用成犬粮 3kg PD30,¥258.00,¥283.80,4.9,4229,18,//img-new.boqiicdn.com/Data/Shop/0/28/2849/shoppicpath11561538563_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-2849.html,100110,3KG,小麦、 禽肉骨粉、 谷朊粉,,泰迪贵宾成犬,定制小立方颗粒,,18个月,3.08KG,￥283.8
法国皇家Royal Canin 7岁以上室内老年猫粮1.5kg S27,¥124.00,¥136.40,4.9,2154,1,//img-new.boqiicdn.com/Data/Shop/0/28/2850/shoppicpath11567422194_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-2850.html,130113,1.5KG,,,7岁以上老年猫,定制柔软颗粒,鸡肉,18个月,1.55KG,￥136.4
金盾 宠物消炎杀螨膏 20g 猫狗蠕形螨疥螨细菌真菌皮肤病,¥40.00,¥44.00,4.9,988,5,//img-new.boqiicdn.com/Data/Shop/0/29/2920/shoppicpath11559791664_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,医疗护理,皮肤治疗,https://shop.boqii.com/product-2920.html,177702,,,,犬猫,,,3年,0.03KG,￥44.0
