用户昵称,评分,内容,商品链接
m***8,5分,家里两只猫，一直用的这款驱虫药，预售很划算，而且物流很快，付了尾款第二天就到了  ,https://shop.boqii.com/product-571.html
m***5,5分,福来恩的一直用的，看到有优惠就买了，两只猫每个月都要用。  ,https://shop.boqii.com/product-571.html
g***Q,5分,买了好几次顽皮的罐头了，狗狗们都特别喜欢，五星好评，非常好  ,https://shop.boqii.com/product-584.html
鸭***子,5分,这个罐头真的好大一罐。我家这只小狗狗一次也是无福消受。只能分三次吃。里面是泥状的。挺适合拌饭的。挑嘴的狗子可以买来试试哦。还不错  ,https://shop.boqii.com/product-584.html
小***哥,5分,狗子很喜欢吃，配方中规中矩，当零食很不错。  ,https://shop.boqii.com/product-584.html
小***哥,5分,日期挺新鲜的，性价比也挺高，狗子很喜欢吃。  ,https://shop.boqii.com/product-584.html
m***9,5分,罐头收到了，和描述的一样，物美价廉，狗狗非常喜欢吃，发货快，非常满意  ,https://shop.boqii.com/product-584.html
狐***狸,5分,没赶上双十一，所以在双十二消费了一丢丢，然后还送了不少东西，也是抢到的，还是不错的这些活动，一直都是狐狸在吃的，不错不错，波奇一直都很给力！！！  ,https://shop.boqii.com/product-584.html
m***4,5分,狗狗很喜欢，很爱吃，下次还会购买的，哈哈哈哈哈爱了爱了  ,https://shop.boqii.com/product-584.html
叫***瑞,5分,好哈哈哈哈哈哈哈哈哈哈哈  ,https://shop.boqii.com/product-584.html
大***冲,5分,随便配图可可爱爱的。  ,https://shop.boqii.com/product-584.html
小***哥,5分,性价比很高的罐头，日常换下口味还不错。  ,https://shop.boqii.com/product-584.html
m***1,5分,挺大一罐，满满都是肉，挺好  ,https://shop.boqii.com/product-584.html
m***4,5分,狗子来家后第一次吃罐头，狼吞虎咽，马上又下单了6罐给他囤着  ,https://shop.boqii.com/product-584.html
布***️,5分,真的好 我们家泰迪爱吃，么得命。肉肉是无法抗拒的  ,https://shop.boqii.com/product-584.html
闹***肥,5分,发货速度快，包装完整，很大一个，可以做主食罐，湿粮、罐头一直选择顽皮，信得过，日期也很好，满意！  ,https://shop.boqii.com/product-585.html
崔***泡,5分,买的太多了～懒～不想一一评价～这是一个模板～如果你看到这条评价～说明这个商品没毛病～买就完事了～  ,https://shop.boqii.com/product-585.html
m***6,5分,狗狗爱吃的罐头，再一次购买，这家店物流快，而且也不贵，很好哦，赞赞赞。  ,https://shop.boqii.com/product-585.html
m***4,5分,狗狗很喜欢，很爱吃，下次还会购买的，哈哈哈哈哈爱了爱了  ,https://shop.boqii.com/product-585.html
可***量,5分,于我，你不是爱情是命。我愿意站在爱情最初的入口，燃尽孤勇。  ,https://shop.boqii.com/product-585.html
小***哥,5分,不错的罐头，回购很多次了。  ,https://shop.boqii.com/product-585.html
Y***u,5分,东西很好，很赞！对于狗狗来说，简直爱不释口！  ,https://shop.boqii.com/product-585.html
H*,5分,非常好，很大一罐，真的很划算  ,https://shop.boqii.com/product-585.html
小***哥,5分,给狗子换下口味，大品牌的质量也有保障。  ,https://shop.boqii.com/product-585.html
m***2,5分,宝贝收到啦给狗狗买的，我家狗狗很喜欢吃  ,https://shop.boqii.com/product-585.html
发***零,5分,很大一瓶，抽奖送的，感觉不错，很实惠  ,https://shop.boqii.com/product-585.html
咪***咪,5分,波奇活动薅的羊毛，可以给小区的流浪狗加餐啦  ,https://shop.boqii.com/product-585.html
崽***瓜,5分,看起来很不错，狗狗应该会非常喜欢！  ,https://shop.boqii.com/product-585.html
赚***皮,5分,还有很长的保质期，看原料组成，过段时间给大家写测评~  ,https://shop.boqii.com/product-586.html
g***Q,5分,整体罐头挖出来都很方便，包装挺好，狗特别喜欢吃，两只狗吃一天，差不多能吃完，一直买顽皮的罐头，已经多次回购了  ,https://shop.boqii.com/product-586.html
m***1,5分,发货很快，收到很完整，暂时还没尝，应该不错  ,https://shop.boqii.com/product-586.html
两***丫,5分,金麦郎很喜欢，店家发货快，包装仔细，服务态度好  ,https://shop.boqii.com/product-586.html
两***丫,5分,一直吃顽皮狗罐，喜欢吃肉糜，金麦郎角切的不爱吃，店家发货快，包装仔细，服务态度好  ,https://shop.boqii.com/product-586.html
绝***爷,5分,"……～……～……～


很好   狗子喜欢  ",https://shop.boqii.com/product-586.html
绝***爷,5分,不错哦?………………嗯 ………………就这样  ,https://shop.boqii.com/product-586.html
m***4,5分,包装封闭很好，口味非常适合狗宝，非常喜欢吃，非常满意，还会光顾  ,https://shop.boqii.com/product-586.html
狼***。,5分,双十二活动囤的，这次还挺划算。特别海藻粉比之前买的便宜了三分之一  ,https://shop.boqii.com/product-586.html
m***5,5分,罐头味道闻着香香的，家里狗子也喜欢吃，以后还换小罐，狗子饭量小，这个开了一天都吃不完。  ,https://shop.boqii.com/product-586.html
熊***肉,5分,很好，价格很合适，搞活动买的家里的狗狗很喜欢吃，会回购的  ,https://shop.boqii.com/product-586.html
m***4,5分,每次拌点狗粮吃的可香啦，没有这个不爱吃狗粮了。尤其小型犬太馋啦，有了这个不怕不吃狗粮了，吃完一定回购。  ,https://shop.boqii.com/product-586.html
椰***猫,5分,"这个狗子一般吧 。
但打开闻起来，看起来都很不错呢。  ",https://shop.boqii.com/product-586.html
g***Q,5分,买了更多次顽皮的罐头，很信任这个牌子，基本上口味都尝试过，狗狗都难喜欢吃的  ,https://shop.boqii.com/product-587.html
鸭***子,5分,牛肉蔬菜里我真没看到蔬菜。可能都融为一体了吧。狗子吃的很开心。但是量太大了。的确是不太好保存哦。以后得买小罐一点了  ,https://shop.boqii.com/product-587.html
m***4,5分,狗狗很喜欢，很爱吃，下次还会购买的，哈哈哈哈哈爱了爱了  ,https://shop.boqii.com/product-587.html
Y***u,5分,卖家发货速度很快，快递也很完整，狗狗非常喜欢吃！  ,https://shop.boqii.com/product-587.html
小***哥,5分,罐头适口性很好，当零食喂很不错。  ,https://shop.boqii.com/product-587.html
六***包,5分,会员日凑单抵个红包，超值(//∇//)给狗子当零食挺好的  ,https://shop.boqii.com/product-587.html
小***哥,5分,适口性很好，有肉有菜，狗子很喜欢吃。  ,https://shop.boqii.com/product-587.html
小***哥,5分,适口性很好，日期也新鲜，多次回购了。  ,https://shop.boqii.com/product-587.html
小***哥,5分,适口性不错，当零食喂喂还可以。  ,https://shop.boqii.com/product-587.html
K***麻,5分,开了一个狗狗爱吃，挑食狗拌粮必备，哈哈哈哈赶上活动囤几个第一次买  ,https://shop.boqii.com/product-587.html
琪***琪,5分,顽皮罐头，超大一罐，狗狗很喜欢吃。  ,https://shop.boqii.com/product-587.html
呆***╮,5分,狗子挑食的很，每次吃饭都要加着罐头，这款罐头性价比极高，家里已经快堆成山了，当然了不止这一个品牌的罐头，棒棒的哟。  ,https://shop.boqii.com/product-587.html
戚***儿,5分,N次回购，良心好物，写了测评可以详细了解一下  ,https://shop.boqii.com/product-587.html
歪***伱,5分,活动促销很有力度，发货超快，价格相当合适，包装严谨，非常满意，好评！  ,https://shop.boqii.com/product-591.html
m***6,5分,刚打开倒进碗里，兑了点开水，狼吞虎咽的快吃完了，不错  ,https://shop.boqii.com/product-591.html
大***花,5分,3件7折真的很划算呦 下次还要购买 赞赞赞  ,https://shop.boqii.com/product-591.html
会***子,5分,给主子买的试吃，它挑食，每种口味尝一遍，比较喜欢吃这个  ,https://shop.boqii.com/product-591.html
m***1,5分,猫猫喜欢，价格实惠，双十一购买，开心，一如既往的好吧。  ,https://shop.boqii.com/product-591.html
m***7,5分,只能说这只猫是幸福的，流浪的猫变成家养猫，有吃有玩，温饱零食都不缺！  ,https://shop.boqii.com/product-591.html
m***5,5分,一下子买了好多口味，发现每一个味道都很喜欢吃，很赞哦  ,https://shop.boqii.com/product-591.html
m***5,5分,一直都吃这个，他很喜欢  ,https://shop.boqii.com/product-591.html
m***5,5分,还没开吃   不过以前一直都有买  适口性也挺好  ,https://shop.boqii.com/product-591.html
懿***宝,5分,之前买的别的口味的，这回特价多买了几组，猫猫很喜欢的，适口性非常好。  ,https://shop.boqii.com/product-591.html
安***熙,5分,喵很喜欢，流浪喵吃了后开始挑嘴，干粮不吃就爱吃湿粮  ,https://shop.boqii.com/product-591.html
铲***的,5分,打开看着有点稀，主子一口都不吃呀。每只猫都有自己的口味，建议先一种湿粮买一点，看看主子爱吃哪个，再趁活动多囤点  ,https://shop.boqii.com/product-591.html
諾***貓,5分,好，一直吃这个牌子，很不错呦(*๓´╰╯`๓)♡  ,https://shop.boqii.com/product-591.html
黑***五,5分,很不错，价格美丽，产品过关，养宠选波奇绝对OK哦  ,https://shop.boqii.com/product-593.html
歪***伱,5分,特别好的零食，有机会就得屯点，拌饭直接喂都可以，价格也挺合适，非常满意，好评  ,https://shop.boqii.com/product-593.html
嘟***仔,5分,非常喜欢在波奇上买猫咪和狗狗的粮食和罐头，适口性很好，价格也非常公道，东西非常好。  ,https://shop.boqii.com/product-593.html
m***4,5分,与图片不一样的包装袋。也不知道成分是一样的吗？  ,https://shop.boqii.com/product-593.html
m***1,5分,顽皮良心国产品牌，适口性好，猫咪也爱吃，价格也合适，信赖波奇。  ,https://shop.boqii.com/product-593.html
崔***泡,5分,凑单凑单凑单～少吃零食～少吃零食～  ,https://shop.boqii.com/product-593.html
m***1,5分,猫猫喜欢，价格实惠，双十一购买，开心，一如既往的好吧。  ,https://shop.boqii.com/product-593.html
m***7,5分,家里猫猫喜欢吃 嘻嘻 买了几个不同的口味 慢慢吃  ,https://shop.boqii.com/product-593.html
会***咪,5分,好吃又实惠，自从上次她发烧以后，果断买了肉包把生病瘦的肉再补回来  ,https://shop.boqii.com/product-593.html
m***2,5分,买来试试，还没有吃呢，换粮阶段不敢给乱吃零食。  ,https://shop.boqii.com/product-593.html
竹***官,5分,好评，凑包数，应该还是不错的  ,https://shop.boqii.com/product-593.html
汪***W,5分,妙鲜包是多种肉肉，不错，我家的主子们很爱吃！  ,https://shop.boqii.com/product-593.html
龙***苗,5分,听猫友介绍，好，给楼下毛孩换换口味  ,https://shop.boqii.com/product-593.html
崽***瓜,5分,很棒，猫咪很喜欢，下次还买，继续买，吃个猫胖胖！  ,https://shop.boqii.com/product-595.html
张***也,5分,好棒啊，快递好快~东西也是正品，第一次在波奇买东西~感受很好  ,https://shop.boqii.com/product-595.html
歪***伱,5分,真不错，价格合适，发货超快，质量信得过，非常满意，以后还会继续购买，好评  ,https://shop.boqii.com/product-595.html
胖***2,5分,买了很多慢慢给猫咪吃  物流也很快 好评  ,https://shop.boqii.com/product-595.html
m***3,5分,挺好的，猫咪都挺喜欢，有机会再买，要是有再优惠一点就好了  ,https://shop.boqii.com/product-595.html
m***1,5分,猫猫喜欢，价格实惠，双十一购买，开心，一如既往的好吧。  ,https://shop.boqii.com/product-595.html
北***姐,5分,湿粮比较喜欢顽皮的，口味多，满足两只猫猫的不同喜好  ,https://shop.boqii.com/product-595.html
大***黄,5分,买了很多次了，真的超棒啊！！！  ,https://shop.boqii.com/product-595.html
青***哦,5分,好像没有以前的闻着鲜和香了，有一种淡淡的坏了的味道，不过喵依然爱吃，只是没以前吃着香了  ,https://shop.boqii.com/product-595.html
諾***貓,5分,好，一直吃这个牌子，很不错呦(*๓´╰╯`๓)♡  ,https://shop.boqii.com/product-595.html
杰***胖,5分,没注意看重量，比平时的一包小很多，所以活动价钱便宜，买了很多，就想看看我家J喜欢哪一款  ,https://shop.boqii.com/product-595.html
s***h,5分,有虾仁，有鸡肉，猫咪喜欢，顽皮的妙鲜包很赞！  ,https://shop.boqii.com/product-595.html
z***2,5分,经常买顽皮妙鲜包给猫拌猫粮吃，鸡丝呈奶白的糊状，伴有虾或鳕鱼片，很清爽。活动买的价格很实惠。  ,https://shop.boqii.com/product-595.html
A***8,5分,狗狗不太爱吃狗粮，买来给它拌狗粮吃，黏黏的，再也挑不出来了，吃了好多，以前用罐头拌的狗粮，吃到最后都能把狗粮剩下！很不错！  ,https://shop.boqii.com/product-597.html
